name,city,area,avgrating,totalratingsstring,cuisines,costfortwostrings,deliverytime,veg,address,diet,price_level,rag_text
Marbella's,Kolkata,Bhowanipore,4.3,50+ ratings,['Continental' 'American' 'Italian' 'Beverages' 'Desserts' 'Healthy Food'],₹800 FOR TWO,61.0,False,1 Wood Burn Park Road Elgin Kolkata 700020,Non-Veg,High,Restaurant: Marbella's. Area: Bhowanipore. Cuisine: ['Continental' 'American' 'Italian' 'Beverages' 'Desserts' 'Healthy Food']. Budget: High. Rating: 4.3. Reviews: 50+ ratings. Diet: Non-Veg. Delivery: 61.0 mins. Address: 1 Wood Burn Park Road Elgin Kolkata 700020.
Chatar Patar,Kolkata,Ballygunge,4.3,100+ ratings,['Street Food' 'Indian' 'Beverages' 'Chaat' 'Combo' 'Pastas' 'Snacks'],₹200 FOR TWO,65.0,True,66 Ballygunge Circular Road Near Tivoli Court Ballygunge Kolkata,Veg,Low,Restaurant: Chatar Patar. Area: Ballygunge. Cuisine: ['Street Food' 'Indian' 'Beverages' 'Chaat' 'Combo' 'Pastas' 'Snacks']. Budget: Low. Rating: 4.3. Reviews: 100+ ratings. Diet: Veg. Delivery: 65.0 mins. Address: 66 Ballygunge Circular Road Near Tivoli Court Ballygunge Kolkata.
Shimla Biryani-Topsia,Kolkata,Topsia,4.2,1000+ ratings,['Chinese' 'Indian' 'Biryani'],₹350 FOR TWO,63.0,False,11/1 Topsia Road (South) Topsia Kolkata,Non-Veg,Medium,Restaurant: Shimla Biryani-Topsia. Area: Topsia. Cuisine: ['Chinese' 'Indian' 'Biryani']. Budget: Medium. Rating: 4.2. Reviews: 1000+ ratings. Diet: Non-Veg. Delivery: 63.0 mins. Address: 11/1 Topsia Road (South) Topsia Kolkata.
Chili's American Grill & Bar,Kolkata,Ballygunge,4.4,100+ ratings,['American' 'Salads' 'Mexican' 'Italian' 'Steakhouse'],₹900 FOR TWO,76.0,False,4th Floor Quest Mall 33 Syed Ali Amir Avenue Ballygunge Kolkata,Non-Veg,High,Restaurant: Chili's American Grill & Bar. Area: Ballygunge. Cuisine: ['American' 'Salads' 'Mexican' 'Italian' 'Steakhouse']. Budget: High. Rating: 4.4. Reviews: 100+ ratings. Diet: Non-Veg. Delivery: 76.0 mins. Address: 4th Floor Quest Mall 33 Syed Ali Amir Avenue Ballygunge Kolkata.
Juice Factory,Kolkata,Ballygunge,4.1,20+ ratings,['Juices'],₹200 FOR TWO,61.0,False,Karaya Rd Lower Range Beck Bagan Ballygunge Kolkata,Non-Veg,Low,Restaurant: Juice Factory. Area: Ballygunge. Cuisine: ['Juices']. Budget: Low. Rating: 4.1. Reviews: 20+ ratings. Diet: Non-Veg. Delivery: 61.0 mins. Address: Karaya Rd Lower Range Beck Bagan Ballygunge Kolkata.
Julie's Kitchen,Kolkata,Ballygunge,--,Too Few Ratings,['Indian'],₹250 FOR TWO,67.0,False,3 PERVEZ SHAHIDI RANGE WARD NO 69 KOLKATA-700019,Non-Veg,Low,Restaurant: Julie's Kitchen. Area: Ballygunge. Cuisine: ['Indian']. Budget: Low. Rating: --. Reviews: Too Few Ratings. Diet: Non-Veg. Delivery: 67.0 mins. Address: 3 PERVEZ SHAHIDI RANGE WARD NO 69 KOLKATA-700019.
Deli Cravings,Kolkata,Bhowanipore,4.2,50+ ratings,['Italian' 'Steakhouse' 'Continental'],₹650 FOR TWO,66.0,False,225/2 A.J.C. Bose Road Minto Park Kolkata,Non-Veg,High,Restaurant: Deli Cravings. Area: Bhowanipore. Cuisine: ['Italian' 'Steakhouse' 'Continental']. Budget: High. Rating: 4.2. Reviews: 50+ ratings. Diet: Non-Veg. Delivery: 66.0 mins. Address: 225/2 A.J.C. Bose Road Minto Park Kolkata.
Dosa Coffee,Kolkata,Bhowanipore,4.4,100+ ratings,['South Indian'],₹350 FOR TWO,59.0,True,11/1 Sarat Bose Rd Sreepally Bhowanipore Kolkata West Bengal 700020,Veg,Medium,Restaurant: Dosa Coffee. Area: Bhowanipore. Cuisine: ['South Indian']. Budget: Medium. Rating: 4.4. Reviews: 100+ ratings. Diet: Veg. Delivery: 59.0 mins. Address: 11/1 Sarat Bose Rd Sreepally Bhowanipore Kolkata West Bengal 700020.
FOREVER FOODS,Kolkata,Ballygunge,--,Too Few Ratings,['Chinese' 'Thalis' 'Pizzas'],₹200 FOR TWO,64.0,False,2A colonel biswas road kol19,Non-Veg,Low,Restaurant: FOREVER FOODS. Area: Ballygunge. Cuisine: ['Chinese' 'Thalis' 'Pizzas']. Budget: Low. Rating: --. Reviews: Too Few Ratings. Diet: Non-Veg. Delivery: 64.0 mins. Address: 2A colonel biswas road kol19.
FNP Cakes,Kolkata,Bhowanipore,4.3,500+ ratings,['Desserts' 'Bakery'],₹300 FOR TWO,60.0,False,13 Elgin Road Kolkata- 700020,Non-Veg,Medium,Restaurant: FNP Cakes. Area: Bhowanipore. Cuisine: ['Desserts' 'Bakery']. Budget: Medium. Rating: 4.3. Reviews: 500+ ratings. Diet: Non-Veg. Delivery: 60.0 mins. Address: 13 Elgin Road Kolkata- 700020.
Saiqa Restaurant,Kolkata,Ballygunge,4.1,500+ ratings,['Indian' 'Mughlai' 'Fast Food'],₹200 FOR TWO,59.0,False,36 Beck Bagan Row Near Lal Masjid Kolkata-700017,Non-Veg,Low,Restaurant: Saiqa Restaurant. Area: Ballygunge. Cuisine: ['Indian' 'Mughlai' 'Fast Food']. Budget: Low. Rating: 4.1. Reviews: 500+ ratings. Diet: Non-Veg. Delivery: 59.0 mins. Address: 36 Beck Bagan Row Near Lal Masjid Kolkata-700017.
Apna Dhaba,Kolkata,Bhowanipore,4.1,500+ ratings,['Indian'],₹300 FOR TWO,61.0,True,13 Harish Mukherjee Road Kolkata Bhawanipur Kolkata,Veg,Medium,Restaurant: Apna Dhaba. Area: Bhowanipore. Cuisine: ['Indian']. Budget: Medium. Rating: 4.1. Reviews: 500+ ratings. Diet: Veg. Delivery: 61.0 mins. Address: 13 Harish Mukherjee Road Kolkata Bhawanipur Kolkata.
Kim Ling,Kolkata,Tangra,4.3,1000+ ratings,['Chinese' 'Asian' 'Oriental' 'Pan-Asian' 'Thai' 'Seafood'],₹600 FOR TWO,63.0,False,13 South Tangra Road Kolkata-700046,Non-Veg,High,Restaurant: Kim Ling. Area: Tangra. Cuisine: ['Chinese' 'Asian' 'Oriental' 'Pan-Asian' 'Thai' 'Seafood']. Budget: High. Rating: 4.3. Reviews: 1000+ ratings. Diet: Non-Veg. Delivery: 63.0 mins. Address: 13 South Tangra Road Kolkata-700046.
Asian Cloud kitchen,Kolkata,Bhowanipore,4.7,50+ ratings,['Chinese' 'Burmese' 'Thai'],₹400 FOR TWO,67.0,False,60/1 Chowringhee road kolkata,Non-Veg,Medium,Restaurant: Asian Cloud kitchen. Area: Bhowanipore. Cuisine: ['Chinese' 'Burmese' 'Thai']. Budget: Medium. Rating: 4.7. Reviews: 50+ ratings. Diet: Non-Veg. Delivery: 67.0 mins. Address: 60/1 Chowringhee road kolkata.
Keventers - Milkshakes and Desserts,Kolkata,Bhowanipore,4.4,500+ ratings,['Beverages' 'Ice Cream' 'Desserts' 'Healthy Food'],₹300 FOR TWO,58.0,True,Keventers Ground Floor Hotel Mangalam 44/2 Sarat Bose Road Opposite Jai Hind Dhaba Kolkata - 700020,Veg,Medium,Restaurant: Keventers - Milkshakes and Desserts. Area: Bhowanipore. Cuisine: ['Beverages' 'Ice Cream' 'Desserts' 'Healthy Food']. Budget: Medium. Rating: 4.4. Reviews: 500+ ratings. Diet: Veg. Delivery: 58.0 mins. Address: Keventers Ground Floor Hotel Mangalam 44/2 Sarat Bose Road Opposite Jai Hind Dhaba Kolkata - 700020.
Beefy Affair,Kolkata,Ballygunge,4,100+ ratings,['Tibetan' 'Italian' 'Mughlai' 'Chinese' 'Kerala'],₹300 FOR TWO,68.0,False,24/1/1/H4 Bright Street Park Circus Area Kolkata,Non-Veg,Medium,Restaurant: Beefy Affair. Area: Ballygunge. Cuisine: ['Tibetan' 'Italian' 'Mughlai' 'Chinese' 'Kerala']. Budget: Medium. Rating: 4. Reviews: 100+ ratings. Diet: Non-Veg. Delivery: 68.0 mins. Address: 24/1/1/H4 Bright Street Park Circus Area Kolkata.
Stoner's Paradise,Kolkata,Ballygunge,3.8,50+ ratings,['Desserts' 'Fast Food' 'American' 'Beverages' 'Combo'],₹200 FOR TWO,68.0,False,24/1/1/H4 Bright Street Park Circus Area Kolkata,Non-Veg,Low,Restaurant: Stoner's Paradise. Area: Ballygunge. Cuisine: ['Desserts' 'Fast Food' 'American' 'Beverages' 'Combo']. Budget: Low. Rating: 3.8. Reviews: 50+ ratings. Diet: Non-Veg. Delivery: 68.0 mins. Address: 24/1/1/H4 Bright Street Park Circus Area Kolkata.
