name,city,area,avgrating,totalratingsstring,cuisines,costfortwostrings,deliverytime,veg,address,diet,price_level,rag_text
Dimsum Vs Sushi,Delhi,Central Market Punjabi Bagh,4,100+ ratings,['Japanese' 'Pan-Asian' 'Chinese'],₹1100 FOR TWO,71.0,False,Stall no.  20 central market west Punjabi bagh near McDonald's 110026,Non-Veg,Low,Restaurant: Dimsum Vs Sushi. Area: Central Market Punjabi Bagh. Cuisine: ['Japanese' 'Pan-Asian' 'Chinese']. Budget: Low. Rating: 4. Reviews: 100+ ratings. Diet: Non-Veg. Delivery: 71.0 mins. Address: Stall no.  20 central market west Punjabi bagh near McDonald's 110026.
The Pizza Pie,Delhi,Vishnu Garden,--,Too Few Ratings,['Pizzas' 'Snacks' 'Italian' 'Beverages'],₹500 FOR TWO,72.0,False,F-13 vishnu garden Tilak nagar New Delhi 110018.,Non-Veg,Medium,Restaurant: The Pizza Pie. Area: Vishnu Garden. Cuisine: ['Pizzas' 'Snacks' 'Italian' 'Beverages']. Budget: Medium. Rating: --. Reviews: Too Few Ratings. Diet: Non-Veg. Delivery: 72.0 mins. Address: F-13 vishnu garden Tilak nagar New Delhi 110018..
Sethi Restaurant,Delhi,Vishnu Garden,4,1000+ ratings,['North Indian'],₹300 FOR TWO,63.0,False,A- 64 shyam nagar vishnu garden backside pacific mall subhash nagar,Non-Veg,Medium,Restaurant: Sethi Restaurant. Area: Vishnu Garden. Cuisine: ['North Indian']. Budget: Medium. Rating: 4. Reviews: 1000+ ratings. Diet: Non-Veg. Delivery: 63.0 mins. Address: A- 64 shyam nagar vishnu garden backside pacific mall subhash nagar.
SK 2 pizza and burger,Delhi,PATEL  NAGAR,--,Too Few Ratings,['Pizzas' 'Continental'],₹200 FOR TWO,71.0,False,WZ 142 OLD SHAHPURA  PATEL  NAGAR West   Delhi 110018,Non-Veg,Low,Restaurant: SK 2 pizza and burger. Area: PATEL  NAGAR. Cuisine: ['Pizzas' 'Continental']. Budget: Low. Rating: --. Reviews: Too Few Ratings. Diet: Non-Veg. Delivery: 71.0 mins. Address: WZ 142 OLD SHAHPURA  PATEL  NAGAR West   Delhi 110018.
Budget Bytes,Delhi,Vishnu Garden,3.9,20+ ratings,['Chinese' 'Arabian' 'Fast Food'],₹150 FOR TWO,76.0,False,Budget Bytes Guru Nanak Nagar Shahpura Chaukhandi Vishnu Garden Delhi India,Non-Veg,Low,Restaurant: Budget Bytes. Area: Vishnu Garden. Cuisine: ['Chinese' 'Arabian' 'Fast Food']. Budget: Low. Rating: 3.9. Reviews: 20+ ratings. Diet: Non-Veg. Delivery: 76.0 mins. Address: Budget Bytes Guru Nanak Nagar Shahpura Chaukhandi Vishnu Garden Delhi India.
Dashi - Dimsum & Sushi Bar,Delhi,Central Market Punjabi Bagh,4.3,100+ ratings,['Japanese' 'Chinese' 'Pan-Asian' 'Sushi'],₹1000 FOR TWO,65.0,False,49/43 Studio 4 AKS Complex Punjabi Bagh New Delhi,Non-Veg,Low,Restaurant: Dashi - Dimsum & Sushi Bar. Area: Central Market Punjabi Bagh. Cuisine: ['Japanese' 'Chinese' 'Pan-Asian' 'Sushi']. Budget: Low. Rating: 4.3. Reviews: 100+ ratings. Diet: Non-Veg. Delivery: 65.0 mins. Address: 49/43 Studio 4 AKS Complex Punjabi Bagh New Delhi.
Aioli Bistro,Delhi,Punjabi Bagh,4.2,100+ ratings,['Italian' 'Continental' 'Pizzas' 'Salads' 'Pastas' 'Desserts'],₹1000 FOR TWO,65.0,False,Building No. 31 Central Market Punjabi Bagh West West Delhi-110026,Non-Veg,Low,Restaurant: Aioli Bistro. Area: Punjabi Bagh. Cuisine: ['Italian' 'Continental' 'Pizzas' 'Salads' 'Pastas' 'Desserts']. Budget: Low. Rating: 4.2. Reviews: 100+ ratings. Diet: Non-Veg. Delivery: 65.0 mins. Address: Building No. 31 Central Market Punjabi Bagh West West Delhi-110026.
Sticky Rice,Delhi,Punjabi Bagh,4.3,100+ ratings,['Pan-Asian' 'Asian' 'Chinese' 'Japanese' 'Sushi' 'Thai' 'Seafood' 'Desserts'],₹1000 FOR TWO,71.0,False,P. NO. 28 CENTRAL MARKET SECTOR-2 WEST AVENUE ROAD GROUND FLOOR PUNJABI BAGH West (Delhi) -110026,Non-Veg,Low,Restaurant: Sticky Rice. Area: Punjabi Bagh. Cuisine: ['Pan-Asian' 'Asian' 'Chinese' 'Japanese' 'Sushi' 'Thai' 'Seafood' 'Desserts']. Budget: Low. Rating: 4.3. Reviews: 100+ ratings. Diet: Non-Veg. Delivery: 71.0 mins. Address: P. NO. 28 CENTRAL MARKET SECTOR-2 WEST AVENUE ROAD GROUND FLOOR PUNJABI BAGH West (Delhi) -110026.
Cake@99,Delhi,Tagore Garden Extension,--,Too Few Ratings,['Bakery'],₹100 FOR TWO,73.0,False,c-153tagore garden ext,Non-Veg,Low,Restaurant: Cake@99. Area: Tagore Garden Extension. Cuisine: ['Bakery']. Budget: Low. Rating: --. Reviews: Too Few Ratings. Diet: Non-Veg. Delivery: 73.0 mins. Address: c-153tagore garden ext.
gourmet tandoor,Delhi,Janakpuri,--,Too Few Ratings,['Tandoor' 'Indian' 'Chinese' 'Continental'],₹150 FOR TWO,79.0,False,SHOP NO 109 BLOCK H VIKAS PURI DDA Red market,Non-Veg,Low,Restaurant: gourmet tandoor. Area: Janakpuri. Cuisine: ['Tandoor' 'Indian' 'Chinese' 'Continental']. Budget: Low. Rating: --. Reviews: Too Few Ratings. Diet: Non-Veg. Delivery: 79.0 mins. Address: SHOP NO 109 BLOCK H VIKAS PURI DDA Red market.
Uncle ji ka kitchen,Delhi,Paschim Vihar,--,Too Few Ratings,['North Indian' 'Thalis'],₹300 FOR TWO,79.0,False,CN393 Chander Vihar Nangloi New Delhi Delhi 110041 India,Non-Veg,Medium,Restaurant: Uncle ji ka kitchen. Area: Paschim Vihar. Cuisine: ['North Indian' 'Thalis']. Budget: Medium. Rating: --. Reviews: Too Few Ratings. Diet: Non-Veg. Delivery: 79.0 mins. Address: CN393 Chander Vihar Nangloi New Delhi Delhi 110041 India.
